"intervention","coefficients","ci.lower","ci.upper","Model","variables","seed"
"lv3_stay_home",0.835688520750227,0.81072429937804,0.861421452705282,"GEE","Intervention",1000027
"lifestyle_close",0.819370404605475,0.790076929328393,0.849749986389348,"GEE","Intervention",1000027
"log10_popsize",1.31982288529544,1.25303306161406,1.39017277509483,"OLS","Census",1000027
"med_income",0.830706916039124,0.701019433062986,0.984386377621616,"OLS","Census",1000027
"percent_poverty",1.02143651289203,0.983323410869129,1.06102685885091,"OLS","Census",1000027
"med_age",0.991116946417024,0.988333915899884,0.993907813616417,"OLS","Census",1000027
"prop_white",0.973276086668555,0.963692779131165,0.982954694062232,"OLS","Census",1000027
"prop_belowCollege",1.03067441023235,1.01329714963913,1.04834967737362,"OLS","Census",1000027
"log10_popdense",0.973310432175488,0.927242141420297,1.02166753975457,"OLS","Census",1000027
"face_mask",0.878053582036408,0.850530466792217,0.906467343650507,"OLS","Intervention",1000027
"suspend_medical",0.974875158906724,0.943291925672772,1.00751585971181,"OLS","Intervention",1000027
"ban_nursing_home_visit",0.882882132940527,0.832665715261589,0.936127003164451,"OLS","Intervention",1000027
"earliest_date_school_closed",0.847555326455476,0.7887631309,0.910729727672986,"OLS","Intervention",1000027
"daycare_close",0.759826867555383,0.700092759498491,0.824657676894986,"OLS","Intervention",1000027
"lv3_stay_home",0.885102425892385,0.859139664456302,0.911849768705949,"OLS","Intervention",1000027
"lifestyle_close",0.839928691002403,0.811818027562435,0.869012736865779,"OLS","Intervention",1000027
"log10_popsize",1.42370672488933,1.34971045231101,1.50175975523085,"GEE","Census",1000028
"med_income",0.776778764298192,0.658859438440668,0.91580269395953,"GEE","Census",1000028
"percent_poverty",1.0640404976513,1.02426731408619,1.10535810825136,"GEE","Census",1000028
"med_age",0.99058351535205,0.987691687528178,0.993483810057105,"GEE","Census",1000028
"prop_white",0.966605860311934,0.957842546104211,0.975449350198024,"GEE","Census",1000028
"prop_belowCollege",1.03443920724613,1.01700932420989,1.05216781008309,"GEE","Census",1000028
"log10_popdense",0.977695005055214,0.932583278036649,1.02498891565194,"GEE","Census",1000028
"face_mask",0.829237329364223,0.802100022531337,0.857292767853331,"GEE","Intervention",1000028
"suspend_medical",1.06177649953259,1.02595918135313,1.09884423810389,"GEE","Intervention",1000028
"ban_nursing_home_visit",0.785438885154077,0.735493826274358,0.838775554972441,"GEE","Intervention",1000028
"earliest_date_school_closed",0.722274265344287,0.654949391286645,0.796519733156468,"GEE","Intervention",1000028
"daycare_close",0.707926734727327,0.635072743331416,0.789138357777326,"GEE","Intervention",1000028
"lv3_stay_home",0.873815783445232,0.847963366987205,0.90045637951424,"GEE","Intervention",1000028
"lifestyle_close",0.805788324626215,0.777207230628827,0.835420462543288,"GEE","Intervention",1000028
"log10_popsize",1.34228663190918,1.2748644010097,1.41327454180624,"OLS","Census",1000028
"med_income",0.868924257979829,0.733578128420263,1.02924192646219,"OLS","Census",1000028
"percent_poverty",1.05748977252006,1.01816064839997,1.09833808715933,"OLS","Census",1000028
"med_age",0.991878021677281,0.989111988661757,0.994651789851948,"OLS","Census",1000028
"prop_white",0.975600399814316,0.966045751270817,0.985249548342593,"OLS","Census",1000028
"prop_belowCollege",1.03077533187097,1.01349895787841,1.04834620355,"OLS","Census",1000028
"log10_popdense",0.980001100976691,0.933880703784794,1.02839918848655,"OLS","Census",1000028
"face_mask",0.904159752891927,0.875928298219526,0.93330111655407,"OLS","Intervention",1000028
"suspend_medical",1.02858803839606,0.995397439080202,1.06288534729313,"OLS","Intervention",1000028
"ban_nursing_home_visit",0.90759006290457,0.854018607377082,0.964521984846423,"OLS","Intervention",1000028
"earliest_date_school_closed",0.888996065907237,0.823652360122678,0.959523754755989,"OLS","Intervention",1000028
"daycare_close",0.758772968630417,0.696119407920589,0.827065603075234,"OLS","Intervention",1000028
"lv3_stay_home",0.906320830299121,0.879910524907711,0.933523834733358,"OLS","Intervention",1000028
"lifestyle_close",0.821164740553418,0.793811151202851,0.849460895209632,"OLS","Intervention",1000028
"log10_popsize",1.41543664966351,1.34334980263922,1.49139182160488,"GEE","Census",1000029
"med_income",0.778457714058492,0.662687010419441,0.91445343434997,"GEE","Census",1000029
"percent_poverty",1.06381894617995,1.02337420727265,1.10586210030395,"GEE","Census",1000029
"med_age",0.9917585698693,0.988825374372742,0.994700466230585,"GEE","Census",1000029
"prop_white",0.962526456894448,0.953652546997238,0.971482940132559,"GEE","Census",1000029
"prop_belowCollege",1.02777924779595,1.01041562868481,1.04544125428362,"GEE","Census",1000029
"log10_popdense",0.994774617907516,0.948887046455451,1.04288128300369,"GEE","Census",1000029
"face_mask",0.816477476354665,0.789834835596006,0.84401882438047,"GEE","Intervention",1000029
"suspend_medical",1.03286513891139,0.997993424662805,1.0689553345894,"GEE","Intervention",1000029
"ban_nursing_home_visit",0.776009072114469,0.72877037673634,0.826309766734418,"GEE","Intervention",1000029
"earliest_date_school_closed",0.800979407159981,0.730100744216525,0.87873901756233,"GEE","Intervention",1000029
"daycare_close",0.699481149678842,0.63309360660185,0.772830231823423,"GEE","Intervention",1000029
"lv3_stay_home",0.83413512169424,0.809518097172362,0.859500737135121,"GEE","Intervention",1000029
"lifestyle_close",0.847225846636754,0.817002128382402,0.878567644163344,"GEE","Intervention",1000029
"log10_popsize",1.3339605112367,1.26666651832297,1.40482962152881,"OLS","Census",1000029
"med_income",0.844777711746433,0.712814726005522,1.00117093015557,"OLS","Census",1000029
"percent_poverty",1.05158515682811,1.01234825060791,1.09234281918021,"OLS","Census",1000029
"med_age",0.99315070357201,0.990364522881094,0.995944722591808,"OLS","Census",1000029
"prop_white",0.972661171896829,0.963082158230859,0.982335460407243,"OLS","Census",1000029
"prop_belowCollege",1.0235348406187,1.00626437340444,1.04110172003405,"OLS","Census",1000029
"log10_popdense",0.997847042513172,0.950671760923526,1.04736330790452,"OLS","Census",1000029
"face_mask",0.888653999373862,0.860834998832167,0.917372007033284,"OLS","Intervention",1000029
"suspend_medical",0.999620036277099,0.967262521415384,1.03305999643659,"OLS","Intervention",1000029
"ban_nursing_home_visit",0.894181376644416,0.842836247827428,0.948654422966172,"OLS","Intervention",1000029
"earliest_date_school_closed",0.959539921939919,0.891483668536707,1.03279161951193,"OLS","Intervention",1000029
"daycare_close",0.747201345411817,0.687612398324322,0.811954310227395,"OLS","Intervention",1000029
"lv3_stay_home",0.880125140288729,0.854327813804681,0.906701444166433,"OLS","Intervention",1000029
"lifestyle_close",0.861329579473133,0.832490475311379,0.891167726811378,"OLS","Intervention",1000029
"log10_popsize",1.45879540863064,1.38277003585225,1.53900069358259,"GEE","Census",1000030
"med_income",0.76907636262631,0.651207574325435,0.908279440949699,"GEE","Census",1000030
"percent_poverty",1.04198103275185,1.00246738736321,1.08305216339295,"GEE","Census",1000030
"med_age",0.990078730616917,0.987117792771971,0.993048550028973,"GEE","Census",1000030
"prop_white",0.960122280466247,0.951163383736524,0.96916555999706,"GEE","Census",1000030
"prop_belowCollege",1.04106316742682,1.02320916221832,1.05922870767014,"GEE","Census",1000030
"log10_popdense",0.980271516591794,0.934640145807452,1.02813072020463,"GEE","Census",1000030
"face_mask",0.798523527391075,0.772295116442728,0.825642698265555,"GEE","Intervention",1000030
"suspend_medical",1.03346840520437,0.997865536389163,1.07034154964455,"GEE","Intervention",1000030
"ban_nursing_home_visit",0.725313612376073,0.682628649799927,0.770667677736962,"GEE","Intervention",1000030
"earliest_date_school_closed",0.772375316484371,0.708595866684527,0.841895440775874,"GEE","Intervention",1000030
"daycare_close",0.711520157419455,0.647879760545772,0.781411868751284,"GEE","Intervention",1000030
"lv3_stay_home",0.843476245867807,0.818415762132705,0.869304099775986,"GEE","Intervention",1000030
"lifestyle_close",0.848867122978625,0.818686413175081,0.880160438573087,"GEE","Intervention",1000030
"log10_popsize",1.35631847859712,1.28773250674002,1.42855741060779,"OLS","Census",1000030
"med_income",0.84738747464821,0.714844973291317,1.00450525501288,"OLS","Census",1000030
"percent_poverty",1.03406255055863,0.995462532512471,1.0741593214654,"OLS","Census",1000030
"med_age",0.992098857893693,0.989319138193025,0.994886387856305,"OLS","Census",1000030
"prop_white",0.970956083979543,0.961395722939364,0.980611515656129,"OLS","Census",1000030
"prop_belowCollege",1.03352043715505,1.01608544935136,1.05125459152973,"OLS","Census",1000030
"log10_popdense",0.987665553681048,0.940945173197003,1.03670572283584,"OLS","Census",1000030
"face_mask",0.88712293136292,0.859355826507178,0.915787233966426,"OLS","Intervention",1000030
"suspend_medical",0.995519455353971,0.963278198857498,1.028839837924,"OLS","Intervention",1000030
"ban_nursing_home_visit",0.853954197832367,0.80594878185367,0.904819001423745,"OLS","Intervention",1000030
"earliest_date_school_closed",0.946990492763887,0.883423709608366,1.01513122596942,"OLS","Intervention",1000030
"daycare_close",0.787836981454025,0.726448990030618,0.854412516039742,"OLS","Intervention",1000030
"lv3_stay_home",0.884122144743053,0.858210314867406,0.910816327051284,"OLS","Intervention",1000030
"lifestyle_close",0.868110000249079,0.839111370999455,0.898110785502567,"OLS","Intervention",1000030
"log10_popsize",1.4236367460311,1.3494918923731,1.50185532503346,"GEE","Census",1000031
"med_income",0.693760501993075,0.587358555837042,0.819437512814943,"GEE","Census",1000031
"percent_poverty",1.0287044445628,0.989943269078039,1.06898331178999,"GEE","Census",1000031
"med_age",0.991869748443991,0.988910602157992,0.994837749470473,"GEE","Census",1000031
"prop_white",0.964829857804786,0.956045361175237,0.973695069622304,"GEE","Census",1000031
"prop_belowCollege",1.02493818619942,1.00744129887347,1.04273895333102,"GEE","Census",1000031
"log10_popdense",0.972693647987397,0.927307629704034,1.02030103336581,"GEE","Census",1000031
"face_mask",0.812538787264522,0.785999325593011,0.839974360424784,"GEE","Intervention",1000031
"suspend_medical",0.992184241448035,0.958228811529624,1.02734290300285,"GEE","Intervention",1000031
"ban_nursing_home_visit",0.747237282392432,0.703791821406094,0.793364655874634,"GEE","Intervention",1000031
"earliest_date_school_closed",0.697440676597406,0.643979859874054,0.755339611812982,"GEE","Intervention",1000031
"daycare_close",0.682156106590738,0.624976342253783,0.744567309669581,"GEE","Intervention",1000031
"lv3_stay_home",0.804156796174449,0.780418574673417,0.828617070146193,"GEE","Intervention",1000031
"lifestyle_close",0.830995073027095,0.801428299821812,0.8616526413515,"GEE","Intervention",1000031
"log10_popsize",1.33538314437526,1.26761127535018,1.40677838463447,"OLS","Census",1000031
"med_income",0.776048696190251,0.654446511777436,0.920245685507455,"OLS","Census",1000031
"percent_poverty",1.02035540444948,0.982273644015556,1.05991355640279,"OLS","Census",1000031
"med_age",0.992935345164081,0.990140447567564,0.995738131997518,"OLS","Census",1000031
"prop_white",0.973305469128482,0.963711897279254,0.982994543192724,"OLS","Census",1000031
"prop_belowCollege",1.02222278173872,1.0049466004089,1.03979596038285,"OLS","Census",1000031
"log10_popdense",0.982026566968432,0.935358121016553,1.03102347278892,"OLS","Census",1000031
"face_mask",0.896043965078414,0.86793465585255,0.925063634617496,"OLS","Intervention",1000031
"suspend_medical",0.968163196846353,0.936733612733839,1.00064731636152,"OLS","Intervention",1000031
"ban_nursing_home_visit",0.870417176294831,0.821657442989139,0.922070465318091,"OLS","Intervention",1000031
"earliest_date_school_closed",0.841528648821783,0.786190067473952,0.900762418766222,"OLS","Intervention",1000031
"daycare_close",0.762856864193328,0.703476360863427,0.827249681187023,"OLS","Intervention",1000031
"lv3_stay_home",0.860699750191521,0.835291125306651,0.886881277120936,"OLS","Intervention",1000031
"lifestyle_close",0.850175862896741,0.821605584866895,0.879739635617639,"OLS","Intervention",1000031
"log10_popsize",1.42532765730817,1.34919125501813,1.50576052367038,"GEE","Census",1000032
"med_income",0.800916540023157,0.680238468060639,0.943003570367742,"GEE","Census",1000032
"percent_poverty",1.0619184179098,1.02240625221359,1.10295758056501,"GEE","Census",1000032
"med_age",0.991749960747322,0.988806114025557,0.994702571809637,"GEE","Census",1000032
"prop_white",0.964257790771109,0.955681789018667,0.972910750991214,"GEE","Census",1000032
"prop_belowCollege",1.03304378833261,1.01576934782156,1.05061200251935,"GEE","Census",1000032
"log10_popdense",0.959775447705401,0.914479597684301,1.007314884171,"GEE","Census",1000032
"face_mask",0.809609858462309,0.78336773617957,0.836731068496684,"GEE","Intervention",1000032
"suspend_medical",0.99889630590916,0.965276954425746,1.0336865760486,"GEE","Intervention",1000032
"ban_nursing_home_visit",0.791253417586651,0.74368934749051,0.841859538468841,"GEE","Intervention",1000032
"earliest_date_school_closed",0.813441745388494,0.744564566501128,0.888690521830892,"GEE","Intervention",1000032
"daycare_close",0.711373956191028,0.644766284960503,0.784862542212291,"GEE","Intervention",1000032
"lv3_stay_home",0.837337387992667,0.813027303620739,0.862374360870724,"GEE","Intervention",1000032
"lifestyle_close",0.855041914936401,0.824722637458688,0.886475819981029,"GEE","Intervention",1000032
"log10_popsize",1.33569940821216,1.26886313520829,1.40605622434246,"OLS","Census",1000032
"med_income",0.870147681089378,0.735919003581264,1.02885913153568,"OLS","Census",1000032
"percent_poverty",1.04908215726592,1.01042500565468,1.08921826611034,"OLS","Census",1000032
"med_age",0.993100337064676,0.99034803608371,0.995860287034092,"OLS","Census",1000032
"prop_white",0.973932902477792,0.964454445512541,0.983504511739514,"OLS","Census",1000032
"prop_belowCollege",1.02739816474545,1.01027674736176,1.04480974315084,"OLS","Census",1000032
"log10_popdense",0.970274046742441,0.924838805627391,1.01794141860571,"OLS","Census",1000032
"face_mask",0.88415327113774,0.856798482162269,0.9123814095594,"OLS","Intervention",1000032
"suspend_medical",0.970723253742553,0.939646587248088,1.00282771006089,"OLS","Intervention",1000032
"ban_nursing_home_visit",0.903743538591322,0.852891134354829,0.957627944114342,"OLS","Intervention",1000032
"earliest_date_school_closed",0.981391068788183,0.914794059151401,1.05283634088163,"OLS","Intervention",1000032
"daycare_close",0.758560022795535,0.699733522865771,0.82233205839124,"OLS","Intervention",1000032
"lv3_stay_home",0.879474237604676,0.853996587997232,0.905711972953261,"OLS","Intervention",1000032
"lifestyle_close",0.874604485086487,0.845669101865934,0.904529920326528,"OLS","Intervention",1000032
"log10_popsize",1.53787893140707,1.45500216320716,1.62547635149393,"GEE","Census",1000033
"med_income",0.797463864500162,0.675432427710064,0.941542912500672,"GEE","Census",1000033
"percent_poverty",1.04630198434857,1.00617181767306,1.08803270298659,"GEE","Census",1000033
"med_age",0.989109460970622,0.986141568363485,0.992086285750188,"GEE","Census",1000033
"prop_white",0.95956018932287,0.950732507795505,0.968469837082073,"GEE","Census",1000033
"prop_belowCollege",1.04024350505776,1.02250485358945,1.05828989076792,"GEE","Census",1000033
"log10_popdense",0.952169079702086,0.906684607047595,0.99993531300033,"GEE","Census",1000033
"face_mask",0.827135183603779,0.799877189213726,0.855322068413745,"GEE","Intervention",1000033
"suspend_medical",1.00046109914605,0.965477023774961,1.03671282304676,"GEE","Intervention",1000033
"ban_nursing_home_visit",0.794577103809226,0.748915401970265,0.843022819716192,"GEE","Intervention",1000033
"earliest_date_school_closed",0.750368053369804,0.69188439378128,0.813795224431644,"GEE","Intervention",1000033
"daycare_close",0.738633360898168,0.673013686439501,0.810651035520609,"GEE","Intervention",1000033
"lv3_stay_home",0.88836658490812,0.861029434671336,0.916571672700783,"GEE","Intervention",1000033
"lifestyle_close",0.843945839624065,0.813442273544883,0.875593269962343,"GEE","Intervention",1000033
"log10_popsize",1.40915629248286,1.33644096332927,1.48582803964443,"OLS","Census",1000033
"med_income",0.857014282078868,0.720358872902345,1.0195938542798,"OLS","Census",1000033
"percent_poverty",1.03644290301629,0.99687840248613,1.07757765494151,"OLS","Census",1000033
"med_age",0.990953448766698,0.988114787643726,0.993800264809596,"OLS","Census",1000033
"prop_white",0.969447697575051,0.959689227160045,0.979305395679755,"OLS","Census",1000033
"prop_belowCollege",1.03461582031635,1.01679022168711,1.05275392388487,"OLS","Census",1000033
"log10_popdense",0.965657432596788,0.919012802630014,1.01466951761806,"OLS","Census",1000033
"face_mask",0.894626591899457,0.866046827086633,0.924149496195285,"OLS","Intervention",1000033
"suspend_medical",0.986575074656994,0.953906671316377,1.02036227149064,"OLS","Intervention",1000033
"ban_nursing_home_visit",0.886423485584971,0.834330890887995,0.94176855295424,"OLS","Intervention",1000033
"earliest_date_school_closed",0.847070987689859,0.787328099684562,0.911347198802312,"OLS","Intervention",1000033
"daycare_close",0.82585089208932,0.757272813278009,0.900639352167447,"OLS","Intervention",1000033
"lv3_stay_home",0.923869337480717,0.896112766401392,0.952485652184916,"OLS","Intervention",1000033
"lifestyle_close",0.861216278495443,0.831726080863868,0.891752098930438,"OLS","Intervention",1000033
"log10_popsize",1.40934903212582,1.33621707863009,1.48648354082582,"GEE","Census",1000034
"med_income",0.791632515171161,0.670849797924878,0.934161478492976,"GEE","Census",1000034
"percent_poverty",1.06932023325862,1.02847894593667,1.1117833435228,"GEE","Census",1000034
"med_age",0.992470709340875,0.989518325120997,0.995431902465409,"GEE","Census",1000034
"prop_white",0.967290792141074,0.958194751064292,0.976473180970417,"GEE","Census",1000034
"prop_belowCollege",1.03378763294214,1.0161579010598,1.0517232301294,"GEE","Census",1000034
"log10_popdense",0.973807857450979,0.928818835878475,1.02097600371806,"GEE","Census",1000034
"face_mask",0.792380291314576,0.766341830077865,0.819303477144106,"GEE","Intervention",1000034
"suspend_medical",1.02552548022578,0.990628813313158,1.06165144447485,"GEE","Intervention",1000034
"ban_nursing_home_visit",0.729588824330563,0.685111125093001,0.776954034304719,"GEE","Intervention",1000034
"earliest_date_school_closed",0.697408249039396,0.641701090795276,0.757951440016122,"GEE","Intervention",1000034
"daycare_close",0.65497664000187,0.595758191688081,0.720081410433624,"GEE","Intervention",1000034
"lv3_stay_home",0.827807903058083,0.80333743730322,0.8530237637945,"GEE","Intervention",1000034
"lifestyle_close",0.864329691529491,0.833467144553916,0.89633505116666,"GEE","Intervention",1000034
"log10_popsize",1.32668045929537,1.26031443137508,1.39654121008184,"OLS","Census",1000034
"med_income",0.863571073238545,0.729679540311071,1.02203084687896,"OLS","Census",1000034
"percent_poverty",1.0533510658824,1.01426663771276,1.09394159951636,"OLS","Census",1000034
"med_age",0.9940377410355,0.991272168911268,0.9968110288905,"OLS","Census",1000034
"prop_white",0.976568864962342,0.967022851170338,0.986209112700532,"OLS","Census",1000034
"prop_belowCollege",1.03000377805083,1.01277133897771,1.04752942936741,"OLS","Census",1000034
"log10_popdense",0.983092850035337,0.936993050333129,1.03146074717096,"OLS","Census",1000034
"face_mask",0.886967728939558,0.859434436193436,0.915383092705316,"OLS","Intervention",1000034
"suspend_medical",0.98438991713421,0.95277780509793,1.01705088402631,"OLS","Intervention",1000034
"ban_nursing_home_visit",0.868610908039272,0.81968463748222,0.920457545577917,"OLS","Intervention",1000034
"earliest_date_school_closed",0.854311507996527,0.797474709707971,0.915199120185974,"OLS","Intervention",1000034
"daycare_close",0.752095491234319,0.692774130675549,0.816496463837944,"OLS","Intervention",1000034
"lv3_stay_home",0.882037543172194,0.856314713126263,0.908533061080926,"OLS","Intervention",1000034
"lifestyle_close",0.871646808725572,0.842662438297568,0.901628130828324,"OLS","Intervention",1000034
"log10_popsize",1.44021486000786,1.36558859149523,1.51891928206307,"GEE","Census",1000035
"med_income",0.771165348867941,0.652771693267309,0.911032144053291,"GEE","Census",1000035
"percent_poverty",1.04886724942462,1.00891670346213,1.09039973581611,"GEE","Census",1000035
"med_age",0.992140986736384,0.989207331679151,0.995083342024316,"GEE","Census",1000035
"prop_white",0.963094112972204,0.95437261193606,0.971895315143283,"GEE","Census",1000035
"prop_belowCollege",1.02866077982153,1.01143269645391,1.04618231509906,"GEE","Census",1000035
"log10_popdense",0.951045566673893,0.907066990601936,0.997156416517641,"GEE","Census",1000035
"face_mask",0.79375916423771,0.76805363371783,0.820325017878659,"GEE","Intervention",1000035
"suspend_medical",1.04559278882177,1.01030117050941,1.08211720618401,"GEE","Intervention",1000035
"ban_nursing_home_visit",0.722079269858272,0.67972238273228,0.767075625585832,"GEE","Intervention",1000035
"earliest_date_school_closed",0.752070635296793,0.689533192043851,0.820279932861813,"GEE","Intervention",1000035
"daycare_close",0.659979959915829,0.599518978009084,0.726538380714779,"GEE","Intervention",1000035
"lv3_stay_home",0.832759788537429,0.808301740541681,0.857957901884715,"GEE","Intervention",1000035
"lifestyle_close",0.843874950999902,0.813683311697157,0.875186848111407,"GEE","Intervention",1000035
"log10_popsize",1.35534836679724,1.28745493736145,1.42682212951444,"OLS","Census",1000035
"med_income",0.863218555491581,0.729678540643784,1.02119801123319,"OLS","Census",1000035
"percent_poverty",1.04027431409363,1.00191789810874,1.0800991284872,"OLS","Census",1000035
"med_age",0.993509567200667,0.990749091946264,0.99627773383091,"OLS","Census",1000035
"prop_white",0.972068502014705,0.962607113248785,0.9816228860184,"OLS","Census",1000035
"prop_belowCollege",1.02639742303199,1.00927042266015,1.04381506319189,"OLS","Census",1000035
"log10_popdense",0.964129044066722,0.918927613424187,1.01155390265101,"OLS","Census",1000035
"face_mask",0.880571871029668,0.853235954013925,0.908783574345293,"OLS","Intervention",1000035
"suspend_medical",1.00586781636228,0.973585165351104,1.03922091256242,"OLS","Intervention",1000035
"ban_nursing_home_visit",0.839308676744832,0.792164506174677,0.889258543355927,"OLS","Intervention",1000035
"earliest_date_school_closed",0.895687907194634,0.835313432925182,0.960426105306701,"OLS","Intervention",1000035
"daycare_close",0.734003002617951,0.677051970014283,0.795744539139,"OLS","Intervention",1000035
"lv3_stay_home",0.883077673519763,0.857372808239406,0.909553195500136,"OLS","Intervention",1000035
"lifestyle_close",0.861043721116329,0.832448988117837,0.890620686980649,"OLS","Intervention",1000035
"log10_popsize",1.42409691144644,1.3518680564167,1.50018487644933,"GEE","Census",1000036
"med_income",0.719795907767577,0.610741272288172,0.848323459290445,"GEE","Census",1000036
"percent_poverty",1.04222084046061,1.00314978529569,1.08281364977837,"GEE","Census",1000036
"med_age",0.991245232794071,0.988347615131129,0.994151345634208,"GEE","Census",1000036
"prop_white",0.962464717559685,0.953636966895056,0.971374186094429,"GEE","Census",1000036
"prop_belowCollege",1.02856421199893,1.01124607376603,1.04617893275476,"GEE","Census",1000036
"log10_popdense",0.984278853233373,0.939677220676651,1.03099749531523,"GEE","Census",1000036
"face_mask",0.806473860549778,0.780231649316627,0.833598698950141,"GEE","Intervention",1000036
"suspend_medical",1.04831079126126,1.01300784334292,1.08484403383123,"GEE","Intervention",1000036
"ban_nursing_home_visit",0.772128519400103,0.725698972457706,0.821528585677778,"GEE","Intervention",1000036
"earliest_date_school_closed",0.7050138308971,0.647669937664552,0.767434881335559,"GEE","Intervention",1000036
"daycare_close",0.68438672197642,0.620517863104825,0.75482949495445,"GEE","Intervention",1000036
"lv3_stay_home",0.850943180819248,0.825819591046862,0.876831095838812,"GEE","Intervention",1000036
"lifestyle_close",0.847996672378443,0.817880095902699,0.87922222336422,"GEE","Intervention",1000036
"log10_popsize",1.33644501491074,1.26923954058034,1.40720897890016,"OLS","Census",1000036
"med_income",0.807804032479758,0.68222414056185,0.956499947880984,"OLS","Census",1000036
"percent_poverty",1.03688520101992,0.998238982943229,1.07702758404023,"OLS","Census",1000036
"med_age",0.992673218826531,0.98990113565947,0.995453064834556,"OLS","Census",1000036
"prop_white",0.971890267776054,0.962372654313926,0.981502007942229,"OLS","Census",1000036
"prop_belowCollege",1.02618296311593,1.00898333760391,1.04367578189163,"OLS","Census",1000036
"log10_popdense",0.995066168894774,0.948285211335971,1.04415493212634,"OLS","Census",1000036
"face_mask",0.891208312790991,0.863367817888218,0.919946563135156,"OLS","Intervention",1000036
"suspend_medical",1.01581085676354,0.983012050842575,1.04970401515854,"OLS","Intervention",1000036
"ban_nursing_home_visit",0.894486094697586,0.84392801613279,0.948073008967916,"OLS","Intervention",1000036
"earliest_date_school_closed",0.864107447977276,0.805596794111481,0.926867742160446,"OLS","Intervention",1000036
"daycare_close",0.757374336118912,0.697726885110061,0.822120943384715,"OLS","Intervention",1000036
"lv3_stay_home",0.899249748457812,0.872892825539941,0.926402516369905,"OLS","Intervention",1000036
"lifestyle_close",0.864663937783678,0.835803519595956,0.894520910446755,"OLS","Intervention",1000036
"log10_popsize",1.45856211445962,1.38408194202398,1.53705021151129,"GEE","Census",1000037
"med_income",0.726178520250809,0.616394881262105,0.855515286229996,"GEE","Census",1000037
"percent_poverty",1.03668447946377,0.998120831918261,1.07673808179678,"GEE","Census",1000037
"med_age",0.990084116319417,0.987197557797898,0.992979115117183,"GEE","Census",1000037
"prop_white",0.959632158060833,0.950882618764803,0.968462206177176,"GEE","Census",1000037
"prop_belowCollege",1.03615903528903,1.01892248407148,1.05368716776279,"GEE","Census",1000037
"log10_popdense",0.976887959278888,0.932134590459005,1.02379001353672,"GEE","Census",1000037
"face_mask",0.815786556324884,0.789056484838397,0.843422135509998,"GEE","Intervention",1000037
"suspend_medical",1.02297882623419,0.988262540600845,1.05891464659506,"GEE","Intervention",1000037
"ban_nursing_home_visit",0.762207275003526,0.717713906576021,0.809458928892533,"GEE","Intervention",1000037
"earliest_date_school_closed",0.776438255840621,0.710368088430431,0.84865350084186,"GEE","Intervention",1000037
"daycare_close",0.657078485709248,0.594842510037558,0.725825960815574,"GEE","Intervention",1000037
"lv3_stay_home",0.824546333289179,0.800262945974687,0.849566582034569,"GEE","Intervention",1000037
"lifestyle_close",0.837711045992899,0.808017228685742,0.868496081104538,"GEE","Intervention",1000037
"log10_popsize",1.35692946337436,1.28953996982752,1.42784063437732,"OLS","Census",1000037
"med_income",0.793677431076083,0.671543528355413,0.938023877829919,"OLS","Census",1000037
"percent_poverty",1.02532343283584,0.987671643695248,1.06441057474224,"OLS","Census",1000037
"med_age",0.991606133105554,0.988861542770832,0.994358341064968,"OLS","Census",1000037
"prop_white",0.970324036066966,0.960924253133102,0.979815767891616,"OLS","Census",1000037
"prop_belowCollege",1.02865482076226,1.01159692586999,1.04600035173833,"OLS","Census",1000037
"log10_popdense",0.982612440105102,0.936976469588488,1.03047113645592,"OLS","Census",1000037
"face_mask",0.900634305256249,0.87280660692401,0.929349234262875,"OLS","Intervention",1000037
"suspend_medical",0.982261677185848,0.950885883361742,1.01467275868781,"OLS","Intervention",1000037
"ban_nursing_home_visit",0.916583509715155,0.863573842019767,0.972847125981523,"OLS","Intervention",1000037
"earliest_date_school_closed",0.889760621835078,0.82689588601939,0.957404647372717,"OLS","Intervention",1000037
"daycare_close",0.719842050966782,0.661388624420317,0.783461582506385,"OLS","Intervention",1000037
"lv3_stay_home",0.876146033671151,0.850773244615854,0.902275520740306,"OLS","Intervention",1000037
"lifestyle_close",0.856427370845616,0.828160390891703,0.88565916650975,"OLS","Intervention",1000037
"log10_popsize",1.40571714037602,1.33351528589628,1.48182829221849,"GEE","Census",1000038
"med_income",0.782477784718072,0.666228816804395,0.919010808499843,"GEE","Census",1000038
"percent_poverty",1.05245978975523,1.01376841560605,1.0926278546461,"GEE","Census",1000038
"med_age",0.991132992395137,0.988254701237616,0.994019666573733,"GEE","Census",1000038
"prop_white",0.96058295729268,0.95190522981224,0.969339792389998,"GEE","Census",1000038
"prop_belowCollege",1.02623908444011,1.00914947288702,1.04361810289563,"GEE","Census",1000038
"log10_popdense",0.980888544431867,0.935812401345083,1.02813591187159,"GEE","Census",1000038
"face_mask",0.818992837059815,0.79247860276546,0.846394167381448,"GEE","Intervention",1000038
"suspend_medical",1.03903996093054,1.00428538561586,1.07499726260429,"GEE","Intervention",1000038
"ban_nursing_home_visit",0.795672836015818,0.748386691652731,0.845946713156178,"GEE","Intervention",1000038
"earliest_date_school_closed",0.711057000386009,0.656431903089624,0.770227734846881,"GEE","Intervention",1000038
"daycare_close",0.737711807733953,0.672025962681314,0.80981798545211,"GEE","Intervention",1000038
